brewery_name,brewery_type,city,state,latitude,longitude,website_url,google_rating,google_review_count,craft_beer_total,data_status
Archetype Brewing,Taproom,Asheville,NC,35.57834677,-82.57502036,http://www.archetypebrewing.com,4.7,442,71,ACTIVE
Asheville Brewing Co,Brewpub,Asheville,NC,35.5918439,-82.55536533,http://www.ashevillepizza.com,4.2,969,13,ACTIVE
Ben's Tune Up,Brewpub,Asheville,NC,35.59154634,-82.5557692,http://www.benstuneup.com,4.4,1524,,ACTIVE
Burial Beer Co. South Slope Taproom,Taproom,Asheville,NC,35.58827052,-82.55381626,http://www.burialbeer.com,4.7,2181,20,ACTIVE
Burial Beer Co. Forestry Camp Taproom,Taproom,Asheville,NC,35.56337245,-82.53712284,https://www.burialbeer.com,4.5,509,22,ACTIVE
French Broad River Brewery,Taproom,Asheville,NC,35.56664842,-82.5373806,http://www.frenchbroadbrewery.com,4.2,310,12,ACTIVE
Green Man Brewery,Brewpub,Asheville,NC,35.58882965,-82.55254183,http://www.greenmanbrewery.com,4.5,1088,21,ACTIVE
Hi-Wire Brewing RAD Beer Garden & Distribution Center,Taproom,Asheville,NC,35.58287806,-82.56594247,http://www.hiwirebrewing.com,4.8,217,24,ACTIVE
Hi-Wire Brewing South Slope Brewpub & Gleezy Hot Dogs,Brewpub,Asheville,NC,35.59139802,-82.55594086,http://www.hiwirebrewing.com,4.4,551,45,ACTIVE
Highland Brewing Company,Regional Brewery,Asheville,NC,35.57106256,-82.49782192,http://www.highlandbrewing.com,4.7,1638,13,ACTIVE
Hillman Beer,Brewpub,Asheville,NC,35.56526621,-82.53711771,http://www.hillmanbeer.com,4.7,1241,22,ACTIVE
New Belgium Brewing Co,Regional Brewery,Asheville,NC,35.5874257,-82.57155377,http://www.newbelgium.com,4.7,2119,24,ACTIVE
One World Brewing,Taproom,Asheville,NC,35.5949577,-82.55220803,http://www.oneworldbrewing.com,4.6,530,10,ACTIVE
Oyster House Brewing Company,Brewpub,Asheville,NC,35.57912197,-82.58894399,https://www.oysterhousebeers.com/,4.5,457,7,ACTIVE
Sweeten Creek Brewing,Brewpub,Asheville,NC,35.54283816,-82.52203415,http://www.sweetencreekbrewing.com,4.7,319,8,ACTIVE
Thirsty Monk South at Biltmore Park,Brewpub,Asheville,NC,35.48661582,-82.55522773,http://www.monkpub.com,4.5,536,16,ACTIVE
Twin Leaf Brewery,Taproom,Asheville,NC,35.58974991,-82.55444655,http://www.twinleafbrewery.com,4.4,519,20,ACTIVE
Wedge Brewing Co,Taproom,Asheville,NC,35.58654048,-82.56655507,http://www.wedgebrewing.com,4.6,527,15,ACTIVE
White Labs Brewing Co - Asheville Kitchen & Tap,Brewpub,Asheville,NC,35.59135269,-82.54882984,https://www.whitelabs.com/taproom,4.6,767,24,ACTIVE
The River Arts District Brewing Company (RAD Brewing Co.),Taproom,Asheville,NC,35.5883316,-82.56337477,https://theradbrewco.com/,4.9,130,14,ACTIVE
Wicked Weed Brewing's Brewpub,Brewpub,Asheville,NC,35.59189466,-82.55102177,https://www.wickedweedbrewing.com/location/brewpub/,4.4,3638,22,ACTIVE
Wicked Weed Funkatorium,Brewpub,Asheville,NC,35.58936517,-82.55509328,https://www.wickedweedbrewing.com/location/funkatorium/,4.5,1493,32,ACTIVE
The Whale :: South Slope,Taproom,Asheville,NC,35.5890249,-82.55365561,https://thewhalecollective.com/,4.5,22,20,ACTIVE
DSSOLVR,Brewpub,Asheville,NC,35.59707446,-82.55347383,https://dssolvr.com/,4.8,831,25,ACTIVE
Hi-Wire Brewing - Biltmore Village,Brewpub,Asheville,NC,35.57096619,-82.54581921,http://www.hiwirebrewing.com,4.7,407,24,ACTIVE
Cellarest Beer Project,Taproom,Asheville,NC,35.57823912,-82.57950069,https://cellarestbeer.com/,4.8,157,12,ACTIVE
Diatribe Brewing Co.,Taproom,Asheville,NC,35.58168491,-82.60428601,https://diatribebrewing.com/,4.9,77,19,ACTIVE
One World Brewing West,Taproom,Asheville,NC,35.57853317,-82.58458954,http://www.oneworldbrewing.com,4.6,251,10,ACTIVE
Ginger's Revenge,Taproom,Asheville,NC,35.61472001,-82.5746874,https://gingersrevenge.com/location/tasting-room/#on-tap,4.8,416,8,ACTIVE
All Sevens Brewing,Brewpub,Asheville,NC,35.57887276,-82.59416911,https://www.allsevensbrewing.com/,4.3,29,16,ACTIVE
The Brew Pump,Taproom,Asheville,NC,35.57818817,-82.59397958,https://www.instagram.com/thebrewpump/,4.6,222,,ACTIVE
Asheville Pizza & Brewing Co,Brewpub,Asheville,NC,35.62227942,-82.55379483,https://www.ashevillebrewing.com/,4.5,3267,48,ACTIVE
